School Name,Grade,Year,Category,Number Tested,Mean Scale Score
THE CHILDREN'S WORKSHOP SCHOOL,All Grades,2013,Male,42,299
THE CHILDREN'S WORKSHOP SCHOOL,All Grades,2014,Female,56,305
THE CHILDREN'S WORKSHOP SCHOOL,All Grades,2014,Male,49,313
NEIGHBORHOOD SCHOOL,3,2013,Female,20,304
NEIGHBORHOOD SCHOOL,3,2013,Male,19,285
NEIGHBORHOOD SCHOOL,3,2014,Female,14,325
NEIGHBORHOOD SCHOOL,3,2014,Male,11,320
NEIGHBORHOOD SCHOOL,4,2013,Female,25,309
NEIGHBORHOOD SCHOOL,4,2013,Male,19,300
NEIGHBORHOOD SCHOOL,4,2014,Female,11,316
NEIGHBORHOOD SCHOOL,4,2014,Male,9,292
NEIGHBORHOOD SCHOOL,5,2013,Female,15,305
NEIGHBORHOOD SCHOOL,5,2013,Male,15,309
NEIGHBORHOOD SCHOOL,5,2014,Female,14,316
NEIGHBORHOOD SCHOOL,5,2014,Male,15,296
NEIGHBORHOOD SCHOOL,All Grades,2013,Female,60,306
NEIGHBORHOOD SCHOOL,All Grades,2013,Male,53,297
NEIGHBORHOOD SCHOOL,All Grades,2014,Female,39,319
NEIGHBORHOOD SCHOOL,All Grades,2014,Male,35,303
EARTH SCHOOL,3,2013,Female,22,300
EARTH SCHOOL,3,2013,Male,11,285
EARTH SCHOOL,3,2014,Female,17,317
EARTH SCHOOL,3,2014,Male,13,322
EARTH SCHOOL,4,2013,Female,17,301
EARTH SCHOOL,4,2013,Male,19,311
EARTH SCHOOL,4,2014,Female,16,300
EARTH SCHOOL,4,2014,Male,6,313
EARTH SCHOOL,5,2013,Female,13,305
EARTH SCHOOL,5,2013,Male,14,285
EARTH SCHOOL,5,2014,Female,9,328
EARTH SCHOOL,5,2014,Male,9,315
EARTH SCHOOL,All Grades,2013,Female,52,302
EARTH SCHOOL,All Grades,2013,Male,44,296
EARTH SCHOOL,All Grades,2014,Female,42,313
EARTH SCHOOL,All Grades,2014,Male,28,318
SCHOOL FOR GLOBAL LEADERS,6,2013,Female,29,296
SCHOOL FOR GLOBAL LEADERS,6,2013,Male,34,294
SCHOOL FOR GLOBAL LEADERS,6,2014,Female,34,288
