School Name,Grade,Year,Category,Number Tested,Mean Scale Score
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,2013,Male,24,275
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,2014,Female,13,289
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,2014,Male,13,266
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,2013,Female,12,273
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,2013,Male,16,273
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,2014,Female,16,279
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,2014,Male,27,269
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,All Grades,2013,Female,43,279
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,All Grades,2013,Male,52,275
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,All Grades,2014,Female,41,286
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,All Grades,2014,Male,50,273
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",6,2013,Female,33,289
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",6,2013,Male,33,286
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",6,2014,Female,11,290
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",6,2014,Male,14,280
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2013,Female,30,285
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2013,Male,30,288
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2014,Female,29,296
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2014,Male,24,286
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2013,Female,38,291
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2013,Male,39,287
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2014,Female,28,301
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2014,Male,32,298
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",All Grades,2013,Female,101,289
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",All Grades,2013,Male,102,287
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",All Grades,2014,Female,68,297
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",All Grades,2014,Male,70,291
THE CHILDREN'S WORKSHOP SCHOOL,3,2013,Female,21,301
THE CHILDREN'S WORKSHOP SCHOOL,3,2013,Male,16,305
THE CHILDREN'S WORKSHOP SCHOOL,3,2014,Female,18,308
THE CHILDREN'S WORKSHOP SCHOOL,3,2014,Male,17,309
THE CHILDREN'S WORKSHOP SCHOOL,4,2013,Female,20,308
THE CHILDREN'S WORKSHOP SCHOOL,4,2013,Male,20,292
THE CHILDREN'S WORKSHOP SCHOOL,4,2014,Female,19,307
THE CHILDREN'S WORKSHOP SCHOOL,4,2014,Male,15,309
THE CHILDREN'S WORKSHOP SCHOOL,5,2013,Female,18,305
THE CHILDREN'S WORKSHOP SCHOOL,5,2013,Male,6,297
THE CHILDREN'S WORKSHOP SCHOOL,5,2014,Female,19,310
THE CHILDREN'S WORKSHOP SCHOOL,5,2014,Male,16,289
THE CHILDREN'S WORKSHOP SCHOOL,All Grades,2013,Female,59,305
THE CHILDREN'S WORKSHOP SCHOOL,All Grades,2013,Male,42,298
THE CHILDREN'S WORKSHOP SCHOOL,All Grades,2014,Female,56,308
THE CHILDREN'S WORKSHOP SCHOOL,All Grades,2014,Male,48,303
NEIGHBORHOOD SCHOOL,3,2013,Female,19,294
NEIGHBORHOOD SCHOOL,3,2013,Male,19,279
NEIGHBORHOOD SCHOOL,3,2014,Female,14,304
NEIGHBORHOOD SCHOOL,3,2014,Male,14,284
