School Name,Grade,Year,Category,Number Tested,Mean Scale Score
P.S. 137 JOHN L. BERNSTEIN,All Grades,2014,Hispanic,43,258
P.S. 137 JOHN L. BERNSTEIN,All Grades,2014,White,4,s
P.S. 140 NATHAN STRAUS,3,2013,Asian,1,s
P.S. 140 NATHAN STRAUS,3,2013,Black,4,s
P.S. 140 NATHAN STRAUS,3,2013,Hispanic,26,274
P.S. 140 NATHAN STRAUS,3,2014,Asian,2,s
P.S. 140 NATHAN STRAUS,3,2014,Black,2,s
P.S. 140 NATHAN STRAUS,3,2014,Hispanic,22,268
P.S. 140 NATHAN STRAUS,4,2013,Asian,2,s
P.S. 140 NATHAN STRAUS,4,2013,Black,5,s
P.S. 140 NATHAN STRAUS,4,2013,Hispanic,18,283
P.S. 140 NATHAN STRAUS,4,2014,Asian,1,s
P.S. 140 NATHAN STRAUS,4,2014,Black,4,s
P.S. 140 NATHAN STRAUS,4,2014,Hispanic,26,287
P.S. 140 NATHAN STRAUS,5,2013,Asian,2,s
P.S. 140 NATHAN STRAUS,5,2013,Black,3,s
P.S. 140 NATHAN STRAUS,5,2013,Hispanic,20,260
P.S. 140 NATHAN STRAUS,5,2014,Asian,3,s
P.S. 140 NATHAN STRAUS,5,2014,Black,3,s
P.S. 140 NATHAN STRAUS,5,2014,Hispanic,18,279
P.S. 140 NATHAN STRAUS,6,2013,Asian,4,s
P.S. 140 NATHAN STRAUS,6,2013,Black,5,s
P.S. 140 NATHAN STRAUS,6,2013,Hispanic,47,289
P.S. 140 NATHAN STRAUS,6,2013,White,2,s
P.S. 140 NATHAN STRAUS,6,2014,Asian,5,s
P.S. 140 NATHAN STRAUS,6,2014,Black,5,s
P.S. 140 NATHAN STRAUS,6,2014,Hispanic,46,292
P.S. 140 NATHAN STRAUS,6,2014,White,2,s
P.S. 140 NATHAN STRAUS,7,2013,Asian,1,s
P.S. 140 NATHAN STRAUS,7,2013,Black,9,285
P.S. 140 NATHAN STRAUS,7,2013,Hispanic,52,276
P.S. 140 NATHAN STRAUS,7,2013,White,1,s
P.S. 140 NATHAN STRAUS,7,2014,Asian,5,s
P.S. 140 NATHAN STRAUS,7,2014,Black,5,s
P.S. 140 NATHAN STRAUS,7,2014,Hispanic,45,290
P.S. 140 NATHAN STRAUS,7,2014,White,2,s
P.S. 140 NATHAN STRAUS,8,2013,Asian,1,s
P.S. 140 NATHAN STRAUS,8,2013,Black,8,271
P.S. 140 NATHAN STRAUS,8,2013,Hispanic,43,284
P.S. 140 NATHAN STRAUS,8,2014,Asian,1,s
P.S. 140 NATHAN STRAUS,8,2014,Black,8,282
P.S. 140 NATHAN STRAUS,8,2014,Hispanic,51,278
P.S. 140 NATHAN STRAUS,8,2014,White,1,s
P.S. 140 NATHAN STRAUS,All Grades,2013,Asian,11,299
P.S. 140 NATHAN STRAUS,All Grades,2013,Black,34,277
P.S. 140 NATHAN STRAUS,All Grades,2013,Hispanic,206,279
P.S. 140 NATHAN STRAUS,All Grades,2013,White,3,s
P.S. 140 NATHAN STRAUS,All Grades,2014,Asian,17,307
P.S. 140 NATHAN STRAUS,All Grades,2014,Black,27,284
P.S. 140 NATHAN STRAUS,All Grades,2014,Hispanic,208,284
P.S. 140 NATHAN STRAUS,All Grades,2014,White,5,s
P.S. 142 AMALIA CASTRO,3,2013,Asian,7,337
P.S. 142 AMALIA CASTRO,3,2013,Black,14,283
P.S. 142 AMALIA CASTRO,3,2013,Hispanic,34,304
P.S. 142 AMALIA CASTRO,3,2013,White,2,s
P.S. 142 AMALIA CASTRO,3,2014,Asian,4,s
P.S. 142 AMALIA CASTRO,3,2014,Black,6,275
P.S. 142 AMALIA CASTRO,3,2014,Hispanic,34,285
P.S. 142 AMALIA CASTRO,3,2014,White,1,s
P.S. 142 AMALIA CASTRO,4,2013,Asian,3,s
P.S. 142 AMALIA CASTRO,4,2013,Black,5,s
P.S. 142 AMALIA CASTRO,4,2013,Hispanic,44,286
P.S. 142 AMALIA CASTRO,4,2013,White,1,s
P.S. 142 AMALIA CASTRO,4,2014,Asian,6,319
P.S. 142 AMALIA CASTRO,4,2014,Black,13,279
P.S. 142 AMALIA CASTRO,4,2014,Hispanic,36,281
P.S. 142 AMALIA CASTRO,4,2014,White,2,s
P.S. 142 AMALIA CASTRO,5,2013,Asian,6,294
P.S. 142 AMALIA CASTRO,5,2013,Black,8,288
P.S. 142 AMALIA CASTRO,5,2013,Hispanic,39,278
P.S. 142 AMALIA CASTRO,5,2013,White,2,s
P.S. 142 AMALIA CASTRO,5,2014,Asian,1,s
P.S. 142 AMALIA CASTRO,5,2014,Black,6,313
P.S. 142 AMALIA CASTRO,5,2014,Hispanic,42,301
P.S. 142 AMALIA CASTRO,5,2014,White,1,s
P.S. 142 AMALIA CASTRO,All Grades,2013,Asian,16,317
P.S. 142 AMALIA CASTRO,All Grades,2013,Black,27,289
P.S. 142 AMALIA CASTRO,All Grades,2013,Hispanic,117,289
P.S. 142 AMALIA CASTRO,All Grades,2013,White,5,s
P.S. 142 AMALIA CASTRO,All Grades,2014,Asian,11,317
P.S. 142 AMALIA CASTRO,All Grades,2014,Black,25,286
P.S. 142 AMALIA CASTRO,All Grades,2014,Hispanic,112,290
P.S. 142 AMALIA CASTRO,All Grades,2014,White,4,s
P.S. 184M SHUANG WEN,3,2013,Asian,64,327
P.S. 184M SHUANG WEN,3,2013,Black,2,s
P.S. 184M SHUANG WEN,3,2013,Hispanic,6,287
P.S. 184M SHUANG WEN,3,2013,White,8,320
P.S. 184M SHUANG WEN,3,2014,Asian,54,335
P.S. 184M SHUANG WEN,3,2014,Black,4,s
P.S. 184M SHUANG WEN,3,2014,Hispanic,1,s
P.S. 184M SHUANG WEN,3,2014,White,13,339
P.S. 184M SHUANG WEN,4,2013,Asian,60,337
P.S. 184M SHUANG WEN,4,2013,Black,3,s
P.S. 184M SHUANG WEN,4,2013,Hispanic,4,s
P.S. 184M SHUANG WEN,4,2013,White,2,s
P.S. 184M SHUANG WEN,4,2014,Asian,68,349
P.S. 184M SHUANG WEN,4,2014,Black,1,s
P.S. 184M SHUANG WEN,4,2014,Hispanic,6,311
P.S. 184M SHUANG WEN,4,2014,White,4,s
P.S. 184M SHUANG WEN,5,2013,Asian,47,345
P.S. 184M SHUANG WEN,5,2013,Black,1,s
P.S. 184M SHUANG WEN,5,2013,Hispanic,1,s
P.S. 184M SHUANG WEN,5,2013,White,7,336
P.S. 184M SHUANG WEN,5,2014,Asian,52,343
P.S. 184M SHUANG WEN,5,2014,Black,3,s
P.S. 184M SHUANG WEN,5,2014,Hispanic,4,s
P.S. 184M SHUANG WEN,5,2014,White,1,s
P.S. 184M SHUANG WEN,6,2013,Asian,45,349
P.S. 184M SHUANG WEN,6,2013,Black,3,s
P.S. 184M SHUANG WEN,6,2013,Hispanic,5,s
P.S. 184M SHUANG WEN,6,2013,White,4,s
P.S. 184M SHUANG WEN,6,2014,Asian,32,351
P.S. 184M SHUANG WEN,6,2014,Black,1,s
P.S. 184M SHUANG WEN,6,2014,Hispanic,1,s
P.S. 184M SHUANG WEN,6,2014,White,6,345
P.S. 184M SHUANG WEN,7,2013,Asian,52,344
P.S. 184M SHUANG WEN,7,2013,Hispanic,3,s
P.S. 184M SHUANG WEN,7,2013,White,3,s
P.S. 184M SHUANG WEN,7,2014,Asian,49,350
P.S. 184M SHUANG WEN,7,2014,Black,3,s
P.S. 184M SHUANG WEN,7,2014,Hispanic,4,s
P.S. 184M SHUANG WEN,7,2014,White,3,s
P.S. 184M SHUANG WEN,8,2013,Asian,50,353
P.S. 184M SHUANG WEN,8,2013,Hispanic,2,s
P.S. 184M SHUANG WEN,8,2013,White,3,s
P.S. 184M SHUANG WEN,8,2014,Asian,50,357
P.S. 184M SHUANG WEN,8,2014,Hispanic,3,s
P.S. 184M SHUANG WEN,8,2014,White,3,s
P.S. 184M SHUANG WEN,All Grades,2013,Asian,318,341
P.S. 184M SHUANG WEN,All Grades,2013,Black,9,311
P.S. 184M SHUANG WEN,All Grades,2013,Hispanic,21,312
P.S. 184M SHUANG WEN,All Grades,2013,White,27,335
P.S. 184M SHUANG WEN,All Grades,2014,Asian,305,347
